optimizer,learning rate,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness,non uniformity,sharpness test,non uniformity test
adagrad,0.01,25,210,83,9e-05,100.0,1.4855,83.3,0.0,4.0,0,0
sgd,0.05,25,249,92,0.00037,100.0,1.3410799999999998,82.8,1.0,10.0,0,0
adagrad,0.05,25,249,98,0.00011,100.0,1.8681400000000001,82.2,0.0,4.0,0,0
sgd,0.1,25,249,67,0.00014,100.0,1.39476,82.7,0.0,3.0,0,0
adagrad,0.1,25,249,97,0.00028,100.0,1.8728900000000002,80.7,2.0,21.0,0,0
adagrad,0.001,25,249,95,0.042089999999999995,99.5,0.70934,82.3,91.0,400.0,0,0
sgd,0.001,25,249,70,0.8075100000000001,71.0,0.85206,67.5,64.0,123.0,0,0
adagrad,0.01,5,49,89,0.0184,99.4,1.17082,82.4,30.0,415.0,0,0
sgd,0.01,5,49,49,0.21754,92.7,0.9104899999999999,78.8,53.0,338.0,0,0
sgd,0.05,5,49,56,0.09367,96.7,0.8827799999999999,81.1,5.0,40.0,0,0
adagrad,0.05,5,49,88,0.20885,95.2,1.67917,79.4,22.0,232.0,0,0
sgd,0.1,5,49,55,0.17479,94.9,0.7581100000000001,80.0,4.0,46.0,0,0
adagrad,0.1,5,49,88,0.13485999999999998,95.6,1.27675,79.9,31.0,246.0,0,0
adagrad,0.001,5,49,83,0.23243000000000005,92.8,0.54156,81.5,132.0,329.0,0,0
sgd,0.001,5,49,50,0.8347,69.3,0.87487,66.6,51.0,97.0,0,0
adagrad,0.01,100,280,37,0.0001,100.0,1.44761,83.4,1.0,5.0,0,0
sgd,0.01,100,999,99,0.01375,100.0,1.05116,80.8,114.0,610.0,0,0
adagrad,0.05,100,560,73,9e-05,100.0,2.062,81.3,1.0,8.0,0,0
sgd,0.05,100,999,100,0.00043,100.0,1.39073,82.2,3.0,15.0,0,0
sgd,0.1,100,999,100,0.00015,100.0,1.35815,82.6,1.0,5.0,0,0
adagrad,0.1,100,999,131,0.00036,100.0,2.05932,80.2,9.0,75.0,0,0
sgd,0.001,100,999,100,0.8105399999999999,72.2,0.8534799999999999,68.5,63.0,119.0,0,0
adagrad,0.001,100,999,127,0.0028699999999999997,100.0,1.04027,82.4,23.0,121.0,0,0
