optimizer,lr,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness train,non uniformity train,sharpness test,non uniformity test
adagrad,0.075,100,1320,202,0.0001,100,2.50962,79.9,1.5,16.5,0,0
sgd,0.075,100,1840,247,0.0001,100,1.53158,82.4,0.6,3.6,0,0
sgd,0.1,25,300,80,0.0001,100,1.45934,82.8,0.2,2.1,0,0
adagrad,0.1,25,650,268,0.0001,100,2.66895,80.5,0.7,5.7,0,0
adagrad,0.01,25,170,69,0.0001,100,1.47765,83.2,0.6,6.5,0,0
sgd,0.01,25,3460,1197,0.0001,100,1.82188,80.7,1.7,7.2,0,0
adagrad,0.025,25,180,69,0.0001,100,1.67769,82.7,0.3,3.5,0,0
sgd,0.025,25,1340,361,0.0001,100,1.63087,81.8,0.8,4.3,0,0
adagrad,0.05,25,260,144,0.0001,100,1.72509,82.1,0.2,3,0,0
sgd,0.05,25,610,203,0.0001,100,1.49216,82.4,0.5,3.2,0,0
sgd,0.075,25,390,106,0.0001,100,1.49815,82.8,0.3,2.7,0,0
adagrad,0.075,25,320,120,0.0001,100,2.11714,81.5,0.5,5.2,0,0
sgd,0.1,5,160,229,0.0001,100,1.59186,82.4,0,0.3,0,0
adagrad,0.1,5,294,683,0.0001,100,2.92037,80.8,0.3,2.4,0,0
sgd,0.01,5,612,643,0.0001,100,1.6166,82.1,0.6,4,0,0
sgd,0.025,1000,19999,1294,0.00044,100,1.57365,80.9,6,26,0,0
adagrad,0.025,1000,1400,92,9.00E-05,100,1.70996,83.2,1,7,0,0
lbfgs,0.025,1000,200,379,0,100,5.73583,80.1,0,0,0,0
sgd,0.075,1000,19400,1310,0.0001,100,1.51784,82.4,1,4,0,0
adagrad,0.075,1000,19999,1400,0.00026,100,3.82662,72.2,5,52,0,0
lbfgs,0.075,1000,200,198,0,100,9.94542,79.9,0,0,0,0
sgd,0.01,1000,19999,1270,0.00209,100,1.35511,80.8,31,137,0,0
adagrad,0.01,1000,1400,95,9.00E-05,100,1.408,82.8,0,5,0,0
lbfgs,0.01,1000,200,677,0,100,4.12003,80.9,0,0,0,0
lbfgs,0.075,1000,200,938,0,100,11.6848,79,0,3,0,0
sgd,0.075,1000,19600,1366,0.0001,100,1.53654,82.1,1,4,0,0
adagrad,0.075,1000,19999,1398,0.35004,82.1,3.24104,55.5,310,1964,0,0
lbfgs,0.025,1000,200,968,0,100,8.47584,79.5,0,1,0,0
sgd,0.025,1000,19999,1373,0.00044,100,1.53051,81.3,5,25,0,0
